date,close,volume,open,high,low
'2016/09/22',109.3600,35615500.0000,107.5700,109.7600,107.4800
'2016/09/21',106.0000,22985350.0000,102.4600,106.1900,102.2100
'2016/09/20',101.4500,12848790.0000,102.9400,103.7300,100.9300
'2016/09/19',103.0300,15220320.0000,105.1600,105.5000,102.1950
'2016/09/16',104.6400,20361380.0000,104.0000,105.3900,103.8600
'2016/09/15',104.4500,20830280.0000,102.6200,104.4800,102.5300
'2016/09/14',102.4000,19593000.0000,100.0800,102.5900,100.0200
'2016/09/13',100.2800,19992510.0000,100.3800,101.4900,98.8400
'2016/09/12',100.8000,17305320.0000,97.3800,101.3800,97.0000
'2016/09/09',99.6200,21234170.0000,101.8000,102.2100,99.0500
'2016/09/08',102.5700,15474890.0000,101.9300,103.7800,101.6300
'2016/09/07',102.3200,15732340.0000,103.8400,104.0000,102.2600
'2016/09/06',103.7800,32771500.0000,100.4500,104.3000,100.4500
'2016/09/02',99.2500,17469950.0000,97.9700,99.6650,97.9700
'2016/09/01',97.4200,13366910.0000,97.3000,98.0000,97.0100
'2016/08/31',97.1900,28600450.0000,96.1400,97.2000,96.0100
'2016/08/30',96.0000,13983900.0000,95.3500,96.6800,95.1700
'2016/08/29',94.8800,8812224.0000,94.6000,95.1600,94.2100
'2016/08/26',95.0600,14118550.0000,94.1500,95.4500,94.0800
'2016/08/25',93.9400,13027180.0000,93.7500,94.6900,93.1200
'2016/08/24',93.8800,12702060.0000,95.6800,96.3000,93.5600
'2016/08/23',95.7900,9638938.0000,95.5900,96.4800,95.4100
'2016/08/22',95.6500,16218810.0000,96.4700,96.6300,94.7500
'2016/08/19',96.8600,14263640.0000,96.9100,97.2400,96.3400
'2016/08/18',97.0000,15006470.0000,97.2500,97.9400,96.6200
'2016/08/17',97.0000,14973660.0000,96.1700,97.2500,96.0500
'2016/08/16',96.6600,27486390.0000,96.1500,97.1500,95.0500
'2016/08/15',97.1700,33792570.0000,98.2800,98.8600,96.8200
'2016/08/12',98.2500,71918830.0000,92.9800,98.3500,92.9100
'2016/08/11',91.7700,54147300.0000,92.1400,92.8000,91.2600
'2016/08/10',87.3300,28135330.0000,86.0100,87.7300,86.0100
'2016/08/09',85.2400,15375290.0000,85.0500,85.6300,84.8000
'2016/08/08',85.0000,11514040.0000,84.9900,85.0200,84.3000
'2016/08/05',84.5900,9389329.0000,85.0100,85.0800,84.4400
'2016/08/04',84.7500,10720530.0000,83.7500,84.9800,83.6900
'2016/08/03',83.6700,5363701.0000,83.3000,83.8400,83.1700
'2016/08/02',83.8000,7682308.0000,84.3400,84.3400,82.9100
'2016/08/01',84.3400,13313720.0000,82.7900,84.8000,82.5900
'2016/07/29',82.4800,8707325.0000,83.3700,83.4200,81.9450
